

Keyboard Example 
MAKE code: 0x25
BREAK code: 0xA0
MAKE code: 0x32
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x25
MAKE code: 0x21
MAKE code: 0x32
BREAK code: 0xA5
MAKE code: 0x25
BREAK code: 0xB2
MAKE code: 0x32
BREAK code: 0xA5
BREAK code: 0xA1
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
BREAK code: 0xB2
MAKE code: 0x32
BREAK code: 0xA5
MAKE code: 0x25
MAKE code: 0x26
BREAK code: 0xB2
BREAK code: 0xA6
BREAK code: 0xA5
MAKE code: 0x27
MAKE code: 0x26
MAKE code: 0x25
BREAK code: 0xA7
MAKE code: 0x32
BREAK code: 0xA6
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x27
MAKE code: 0x25
MAKE code: 0x32
BREAK code: 0xA7
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x26
MAKE code: 0x25
BREAK code: 0xA6
MAKE code: 0x32
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x27
MAKE code: 0x26
MAKE code: 0x25
MAKE code: 0x32
BREAK code: 0xA6
BREAK code: 0xA7
BREAK code: 0xA5
MAKE code: 0x26
MAKE code: 0x25
BREAK code: 0xB2
MAKE code: 0x27
MAKE code: 0x32
BREAK code: 0xA6
BREAK code: 0xA5
BREAK code: 0xA7
BREAK code: 0xB2
MAKE code: 0x1F
MAKE code: 0x20
MAKE code: 0x21
BREAK code: 0x9F
BREAK code: 0xA1
BREAK code: 0xA0
MAKE code: 0x1F
MAKE code: 0x20
BREAK code: 0x9F
BREAK code: 0xA0
MAKE code: 0x20
MAKE code: 0x21
BREAK code: 0xA0
BREAK code: 0xA1
MAKE code: 0x22
MAKE code: 0x20
MAKE code: 0x1F
BREAK code: 0xA2
MAKE code: 0x21
BREAK code: 0x9F
BREAK code: 0xA0
MAKE code: 0x22
BREAK code: 0xA1
BREAK code: 0xA2
MAKE code: 0x1F
MAKE code: 0x20
MAKE code: 0x21
MAKE code: 0x22
BREAK code: 0x9F
BREAK code: 0xA0
BREAK code: 0xA1
BREAK code: 0xA2
MAKE code: 0x21
MAKE code: 0x20
BREAK code: 0xA1
BREAK code: 0xA0
MAKE code: 0x22
MAKE code: 0x21
BREAK code: 0xA1
BREAK code: 0xA2
MAKE code: 0x21
MAKE code: 0x20
MAKE code: 0x22
BREAK code: 0xA0
BREAK code: 0xA2
BREAK code: 0xA1
MAKE code: 0x21
MAKE code: 0x20
BREAK code: 0xA1
BREAK code: 0xA0
MAKE code: 0x21
MAKE code: 0x20
BREAK code: 0xA0
BREAK code: 0xA1
MAKE code: 0x32
MAKE code: 0x25
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
BREAK code: 0xB2
BREAK code: 0xA5
MAKE code: 0x32
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x26
MAKE code: 0x25
BREAK code: 0xA6
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
MAKE code: 0x26
MAKE code: 0x27
BREAK code: 0xA5
BREAK code: 0xB2
BREAK code: 0xA7
BREAK code: 0xA6
MAKE code: 0x25
MAKE code: 0x32
MAKE code: 0x26
BREAK code: 0xA6
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
MAKE code: 0x26
BREAK code: 0xA5
BREAK code: 0xA6
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
MAKE code: 0x26
BREAK code: 0xA6
BREAK code: 0xA5
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x25
MAKE code: 0x26
BREAK code: 0xA5
BREAK code: 0xA6
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x26
MAKE code: 0x25
MAKE code: 0x27
BREAK code: 0xA5
BREAK code: 0xA6
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x26
MAKE code: 0x25
BREAK code: 0xA5
BREAK code: 0xB2
BREAK code: 0xA6
MAKE code: 0x32
BREAK code: 0xA7
MAKE code: 0x25
BREAK code: 0xB2
MAKE code: 0x32
BREAK code: 0xA5
MAKE code: 0x21
MAKE code: 0x20
MAKE code: 0x25
MAKE code: 0x26
BREAK code: 0xB2
MAKE code: 0x32
BREAK code: 0xA1
BREAK code: 0xA6
BREAK code: 0xA5
MAKE code: 0x22
MAKE code: 0x25
BREAK code: 0xA0
BREAK code: 0xB2
MAKE code: 0x32
MAKE code: 0x20
BREAK code: 0xA5
BREAK code: 0xA2
BREAK code: 0xB2
MAKE code: 0x25
MAKE code: 0x32
BREAK code: 0xA5
BREAK code: 0xA0
BREAK code: 0xB2
MAKE code: 0x39
BREAK code: 0xB9
MAKE code: 0x39
BREAK code: 0xB9
MAKE code: 0x39
BREAK code: 0xB9
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x2A
MAKE code: 0x24
MAKE code: 0x24
MAKE code: 0x24
MAKE code: 0x24
MAKE code: 0x24
MAKE code: 0x24
MAKE code: 0x24
BREAK code: 0xAA
BREAK code: 0xA4
MAKE code: 0x2A
BREAK code: 0xAA
MAKE code: 0x24
BREAK code: 0xA4
MAKE code: 0x24
BREAK code: 0xA4
MAKE code: 0x24
BREAK code: 0xA4
MAKE code: 0x2A
BREAK code: 0xAA
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0xA4
BREAK code: 0xAA
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0xA4
BREAK code: 0xAA
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0xA4
BREAK code: 0xAA
BREAK code: 0x9D
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0x9D
BREAK code: 0xAA
BREAK code: 0xA4
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0x9D
BREAK code: 0xAA
BREAK code: 0xA4
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0x9D
BREAK code: 0xAA
BREAK code: 0xA4
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0x9D
BREAK code: 0xAA
BREAK code: 0xA4
MAKE code: 0x1D
MAKE code: 0x2A
MAKE code: 0x24
BREAK code: 0xA4
BREAK code: 0x9D
BREAK code: 0xAA
MAKE code: 0x1D
MAKE code: 0x2A
